date,country,event_type,description
2023-03-15,FR,Clinical Guideline Update,"National dermatology society issues updated guidelines on aesthetic neuromodulator dosing and patient selection."
2023-06-01,NL,Advertising Restriction,"New regional restrictions on digital advertising for aesthetic procedures limiting before/after imagery on paid channels."
2023-09-10,BE,Reimbursement Policy Change,"Pilot reimbursement program announced for reconstructive procedures affecting billing codes in select hospitals."
2024-02-20,FR,Safety Advisory,"Health authority issues advisory on rare adverse events associated with dermal fillers; additional informed consent recommended."
2024-06-15,NL,Advertising Restriction,"Tighter advertising rules for aesthetic procedures introduced nationwide; expected short-term decline in elective procedures."
2024-11-01,LU,Training Requirement,"Mandatory accredited training requirement for clinicians administering neuromodulators in private clinics."
2025-01-10,BE,Regulatory Clarification,"Clarification on scope of practice for nurse injectors issued, impacting clinic staffing models."
2025-04-05,FR,Supply Chain Alert,"Temporary import restrictions on specific injectable components causing short-term supply constraints."
2025-07-20,NL,Patient Consent Update,"Updated national consent form template required for all aesthetic procedures, includes cooling-off period guidance."
2025-09-30,FR,Advertising Guidance,"New guidance on influencer-led promotion of aesthetic treatments; stricter disclosure and transparency rules."